Name                                 IS_Rad        IS_x        IS_y        IS_z      ES_Rad        ES_x        ES_y        ES_z  Sphericity         BSR    Round DP  Round MaxC      Length       Width       Thick          D2          D3    Corey SF         ASF         MPS         ESF     Hofmann
MA108A-7-fine-anm-00117.dat          0.0899     -0.0343     -0.0136    -0.00466       0.163     0.00319     0.00126    -0.00088       0.851       0.551       0.843       0.316       0.326       0.264       0.234       0.263       0.229       0.783       0.982       0.849       0.832        0.99
MA108A-7-fine-anm-00120.dat          0.0903      0.0736     0.00929    -0.00937       0.233     0.00188     -0.0299     0.00189       0.824       0.388       0.777        0.42       0.467       0.285       0.214       0.285       0.214       0.587        0.92       0.701       0.631       0.952
MA108A-7-fine-anm-00123.dat          0.0834   -0.000121    -0.00193     0.00351       0.166     0.00326     -0.0171     0.00819       0.844       0.502       0.833       0.318       0.333       0.253        0.22       0.251       0.217       0.749       0.974       0.825       0.798       0.985
MA108A-7-fine-anm-00126.dat          0.0766     0.00473     -0.0026    -0.00214       0.138     0.00399    -0.00847     0.00118       0.814       0.556       0.809       0.281       0.274       0.238       0.207       0.238       0.207       0.812       0.989        0.87       0.859       0.994
MA108A-7-fine-anm-00129.dat          0.0708     -0.0263    -0.00675     0.00171       0.142      0.0109      0.0103    -0.00286       0.811         0.5         0.8       0.305       0.284       0.247       0.185       0.245       0.187       0.709       0.973       0.795       0.773       0.987
MA108A-7-fine-anm-00133.dat           0.117      0.0329           0      0.0107       0.205     -0.0121     0.00882     -0.0124       0.871       0.568       0.865       0.364       0.399       0.378       0.294       0.376       0.293       0.756       0.984        0.83       0.816       0.992
MA108A-7-fine-anm-00136.dat          0.0646     0.00702    -0.00278    0.000475        0.13      0.0016     0.00492    -0.00551        0.81       0.498         0.8       0.314       0.262       0.226       0.173       0.226       0.173       0.712       0.974       0.798       0.776       0.987
MA108A-7-fine-anm-00140.dat           0.117      0.0137     -0.0292     0.00407       0.198   -2.17e-05    0.000345     0.00107       0.891       0.593       0.885       0.359       0.396       0.373        0.27       0.373        0.27       0.702       0.974        0.79       0.769       0.988
MA108A-7-fine-anm-00143.dat          0.0738       0.025    -0.00642    -0.00663       0.135     -0.0126     0.00692     0.00676       0.811       0.548       0.804        0.28       0.269       0.206       0.183         0.2        0.19        0.82       0.981       0.876       0.854       0.989
MA108A-7-fine-anm-00146.dat          0.0756        0.04     -0.0103      0.0026       0.183     -0.0107    1.31e-18     -0.0114       0.803       0.412       0.774        0.34       0.368       0.248       0.185       0.248       0.185       0.612       0.936        0.72       0.666       0.964
MA108A-7-fine-anm-00149.dat           0.084     -0.0272     -0.0329     -0.0054       0.212     0.00364      0.0191     0.00631       0.813       0.395       0.778       0.395       0.426       0.321       0.211        0.32       0.213       0.578       0.931       0.694       0.644       0.966
MA108A-7-fine-anm-00152.dat           0.072      0.0211      0.0153     0.00497       0.148    -0.00875    -0.00481     -0.0106       0.814       0.485       0.801       0.341       0.288       0.252       0.197       0.252       0.195       0.726       0.977       0.808       0.788       0.989
MA108A-7-fine-anm-00155.dat          0.0694      -0.031    -0.00392    1.91e-18       0.164    -0.00388     -0.0203     -0.0114       0.788       0.423       0.769        0.32        0.33       0.217       0.179       0.217       0.179       0.668       0.949       0.764       0.714       0.969
MA108A-7-fine-anm-00158.dat          0.0749     0.00443     -0.0136   -0.000902       0.146     -0.0173    -0.00684     -0.0102       0.776       0.515       0.766       0.307       0.283       0.277       0.209       0.276       0.201       0.722       0.978       0.804       0.787        0.99
MA108A-7-fine-anm-00161.dat          0.0887    -0.00389    -0.00827   -0.000575       0.145    0.000517     0.00271     0.00697       0.844       0.613       0.843       0.292       0.286       0.263       0.215       0.263       0.215       0.783       0.987       0.849       0.838       0.994
MA108A-7-fine-anm-00164.dat          0.0774     0.00278     0.00261    -0.00024       0.139    -0.00109     -0.0174    -0.00566       0.837       0.556        0.83       0.302       0.278       0.218       0.179       0.213       0.175        0.72        0.97       0.804       0.775       0.984
MA108A-7-fine-anm-00167.dat          0.0979      0.0119     0.00656      0.0128       0.191     0.00298      0.0028    -0.00744       0.867       0.513       0.854       0.362       0.382       0.306       0.247       0.306       0.247       0.724       0.973       0.806       0.782       0.986
MA108A-7-fine-anm-00170.dat          0.0701      0.0222     -0.0028    -0.00283       0.136    -0.00216     -0.0113    0.000727       0.812       0.515       0.801         0.3       0.273       0.205       0.193       0.205       0.193       0.814       0.981       0.872       0.851       0.989
MA108A-7-fine-anm-00174.dat          0.0743     -0.0147     0.00186   -0.000932       0.155     0.00434    -0.00239    -0.00599       0.817        0.48       0.801       0.323       0.312       0.243       0.187       0.243       0.187       0.678       0.962       0.772        0.74        0.98
MA108A-7-fine-anm-00177.dat          0.0792       0.115     -0.0296    7.29e-18       0.308     -0.0475     -0.0188     0.00321       0.714       0.257        0.62       0.407       0.623       0.276       0.179        0.27       0.177       0.431       0.821       0.571       0.437       0.874
MA108A-7-fine-anm-00181.dat          0.0696     -0.0137      0.0216     0.00488       0.153    -0.00212    -0.00334    -0.00842       0.806       0.454       0.783       0.342       0.306       0.227       0.176       0.227       0.178       0.674       0.958       0.769       0.732       0.977
MA108A-7-fine-anm-00184.dat          0.0854     0.00171      0.0272    -0.00344       0.156    0.000361    -0.00573    -0.00611       0.844       0.547       0.834       0.333       0.311       0.291       0.212        0.29       0.211       0.703       0.974        0.79        0.77       0.988
MA108A-7-fine-anm-00187.dat          0.0795      0.0278      0.0261    -0.00481       0.185    -0.00751     -0.0231      0.0154       0.827        0.43       0.803       0.356       0.371       0.254       0.191       0.254       0.191       0.622        0.94       0.729       0.677       0.966
MA108A-7-fine-anm-00190.dat          0.0722      0.0285     0.00731     0.00371       0.144     0.00221     0.00679     0.00453       0.822       0.502       0.814       0.314       0.293       0.228       0.186       0.228       0.186        0.72       0.971       0.804       0.777       0.984
MA108A-7-fine-anm-00194.dat          0.0908      0.0235           0     0.00297       0.172     -0.0142    -0.00363     -0.0177       0.861       0.529       0.847       0.362       0.342       0.315       0.191       0.315       0.191       0.581       0.939       0.696       0.657       0.974
MA108A-7-fine-anm-00197.dat           0.106     0.00737     -0.0157       0.011       0.185    -0.00203     0.00431     -0.0249       0.857       0.572       0.851       0.323       0.368       0.319       0.254       0.319       0.248       0.723       0.976       0.805       0.785       0.988
MA108A-7-fine-anm-00200.dat          0.0953     -0.0013      0.0207     -0.0013         0.2    -0.00562    -0.00886     0.00762       0.817       0.476       0.799       0.367         0.4       0.299       0.219       0.297        0.22       0.638        0.95       0.741       0.699       0.974
MA108A-7-fine-anm-00203.dat          0.0988     -0.0179     -0.0283     0.00423       0.241     0.00775      0.0165    -0.00115       0.825        0.41       0.794       0.419       0.483        0.38       0.238        0.38       0.238       0.556       0.924       0.676       0.625       0.965
MA108A-7-fine-anm-00206.dat          0.0819      0.0234           0    -0.00761       0.168     -0.0114     1.4e-18      0.0121       0.797       0.487       0.785       0.301       0.337       0.222       0.227        0.22       0.232       0.853       0.972         0.9       0.866       0.983
MA108A-7-fine-anm-00209.dat          0.0748    -0.00354     -0.0185    -0.00485       0.139    -0.00386     -0.0082      0.0165       0.817        0.54       0.813       0.291       0.262       0.244       0.196       0.244       0.197       0.781       0.987       0.848       0.837       0.994
MA108A-7-fine-anm-00212.dat           0.101     -0.0403       0.016    2.66e-18       0.263     0.00968           0     0.00909       0.837       0.383        0.79       0.423       0.526       0.282        0.24       0.276       0.253       0.665       0.924       0.762        0.68       0.947
MA108A-7-fine-anm-00215.dat          0.0683     -0.0171     0.00938    -0.00123       0.155   -0.000948     -0.0151    9.25e-19       0.794       0.441       0.778       0.314        0.31       0.233       0.175       0.232       0.171       0.638        0.95       0.741         0.7       0.974
MA108A-7-fine-anm-00218.dat          0.0737      0.0122    -0.00314     0.00594       0.142     -0.0022     2.7e-19    -0.00556       0.795       0.519       0.784       0.297       0.282       0.229       0.195       0.227       0.197        0.78       0.982       0.848       0.829        0.99
MA108A-7-fine-anm-00221.dat          0.0711      0.0141      0.0132    1.18e-18       0.142    -0.00339     0.00087     0.00192       0.826       0.501       0.812       0.324       0.276       0.265        0.18       0.265        0.18       0.665       0.966       0.762       0.737       0.985
MA108A-7-fine-anm-00224.dat           0.115     0.00852     -0.0103     0.00169       0.232     0.00763      0.0235    1.51e-18       0.835       0.495       0.819       0.325       0.465       0.326       0.287       0.318       0.281       0.731       0.963       0.812       0.773       0.978
MA108A-7-fine-anm-00227.dat          0.0817    -0.00282      -0.006     -0.0017       0.149   -0.000533     0.00847      0.0117       0.819       0.549       0.812         0.3       0.299       0.242       0.215       0.241       0.219       0.817       0.986       0.874       0.859       0.992
MA108A-7-fine-anm-00230.dat            0.09    -0.00107     -0.0169    -0.00436       0.162     0.00578     0.00911      0.0115       0.853       0.557       0.845       0.317       0.322       0.265       0.223       0.264       0.223       0.763        0.98       0.835       0.816        0.99
MA108A-7-fine-anm-00234.dat          0.0849     0.00125      0.0199     0.00252       0.154     -0.0097    -0.00911    -0.00626       0.847        0.55       0.839       0.328       0.304       0.259       0.205       0.259       0.205       0.731       0.977       0.811       0.791       0.989
MA108A-7-fine-anm-00237.dat           0.105     -0.0629     7.7e-18     0.00794       0.249      0.0478      0.0123     -0.0232        0.77        0.42       0.722       0.379         0.5       0.332       0.255       0.332       0.255       0.626       0.939       0.732       0.677       0.965
MA108A-7-fine-anm-00241.dat           0.068     -0.0193    -0.00766     0.00131        0.15     0.00734     0.00291     -0.0168       0.798       0.454       0.779       0.331       0.302       0.246       0.174       0.246       0.174       0.636       0.954        0.74       0.704       0.978
MA108A-7-fine-anm-00245.dat          0.0626    -0.00931     0.00874    -0.00601       0.162    -0.00338      0.0177    -0.00587       0.783       0.386       0.752        0.37       0.322       0.238       0.165       0.238       0.165       0.597       0.937       0.709        0.66       0.968
MA108A-7-fine-anm-00248.dat          0.0964     -0.0394     -0.0101    2.49e-18       0.183     0.00702      0.0149     0.00314       0.847       0.526       0.836       0.306        0.37       0.256       0.247       0.256       0.247       0.804       0.973       0.864       0.834       0.984
MA108A-7-fine-anm-00251.dat          0.0952     -0.0374    4.58e-18    -0.00713       0.214     0.00148    0.000586     -0.0126       0.795       0.445       0.774       0.305       0.428       0.258       0.235       0.258       0.236       0.711       0.948       0.797        0.74       0.966
MA108A-7-fine-anm-00255.dat          0.0775     -0.0201       0.011     0.00437       0.131   -0.000344    -0.00181     -0.0146       0.823        0.59       0.822       0.285        0.26       0.235       0.198       0.235       0.198       0.801       0.989       0.862       0.852       0.994
MA108A-7-fine-anm-00258.dat          0.0611     -0.0649     -0.0082    -0.00827       0.222     -0.0227    2.78e-18     0.00584       0.741       0.276       0.663       0.426       0.445       0.242       0.166       0.233       0.167       0.517       0.881       0.644       0.545       0.922
MA108A-7-fine-anm-00261.dat          0.0763     0.00355     0.00559     0.00126       0.155    -0.00331    4.05e-19     0.00836        0.83       0.493       0.816       0.311       0.311       0.232       0.194       0.232       0.194       0.721       0.968       0.804       0.774       0.982
MA108A-7-fine-anm-00264.dat          0.0894       0.034      0.0134     -0.0023        0.22     -0.0498     6.1e-18    3.05e-18       0.767       0.407       0.734       0.296       0.444       0.246       0.216       0.246       0.216       0.653       0.928       0.753       0.678       0.952
MA108A-7-fine-anm-00267.dat          0.0665     -0.0252     -0.0139    1.76e-18       0.135   -0.000343     0.00545    -0.00346       0.803       0.492        0.79       0.309       0.272        0.24       0.175       0.239       0.182       0.714       0.975       0.799       0.778       0.988
MA108A-7-fine-anm-00270.dat          0.0959      0.0134    -0.00169     0.00635       0.169      -0.017    -0.00215     -0.0044       0.858       0.569       0.854       0.317       0.335       0.288       0.227       0.288       0.227       0.733       0.977       0.813       0.793       0.989
MA108A-7-fine-anm-00273.dat          0.0792      0.0432     -0.0314    3.27e-18       0.176     -0.0027     -0.0141      0.0105       0.824       0.449       0.798       0.356       0.353       0.271       0.175       0.271       0.175       0.568       0.928       0.686       0.636       0.965
MA108A-7-fine-anm-00276.dat          0.0665      0.0266     0.00684     0.00524       0.137    -0.00325     -0.0171     -0.0163       0.796       0.484       0.782       0.317       0.275       0.217       0.178       0.217       0.181       0.742       0.975        0.82       0.796       0.987
MA108A-7-fine-anm-00279.dat          0.0808     -0.0441     -0.0175    -0.00905       0.166     0.00631    -0.00995     0.00975       0.819       0.486       0.798       0.348       0.332        0.26       0.213        0.26       0.213       0.724       0.972       0.806        0.78       0.985
MA108A-7-fine-anm-00282.dat          0.0705     -0.0241    -0.00955    -0.00843       0.132     0.00518    -0.00816     0.00122       0.817       0.535       0.808       0.321       0.261        0.23       0.187        0.23       0.192       0.784       0.986        0.85       0.837       0.993
MA108A-7-fine-anm-00285.dat          0.0902    -0.00956    -0.00526    -0.00138        0.17      0.0127     0.00698      0.0047       0.833        0.53       0.823        0.31       0.338       0.279       0.239       0.277       0.239       0.781       0.983       0.848       0.831       0.991
MA108A-7-fine-anm-00288.dat          0.0703    -0.00174      0.0091      0.0087       0.131    -0.00107      0.0169     -0.0123       0.804       0.536       0.799       0.287       0.259       0.218       0.206       0.218       0.206       0.867       0.992       0.909         0.9       0.996
MA108A-7-fine-anm-00291.dat          0.0907      0.0169    -0.00433    -0.00447       0.146    -0.00156      0.0048     0.00795       0.855       0.623       0.852       0.296       0.291       0.228       0.242       0.228       0.242       0.938       0.991       0.958       0.947       0.995
MA108A-7-fine-anm-00294.dat          0.0695     -0.0042    -0.00231     0.00264        0.14    0.000356     0.00043     0.00887       0.816       0.497       0.806       0.313       0.281       0.234       0.187       0.234       0.187       0.729       0.976        0.81       0.788       0.988
MA108A-7-fine-anm-00297.dat          0.0787     0.00997    -0.00548     -0.0037       0.124    -0.00143    -0.00173    -0.00271        0.84       0.633        0.84        0.28       0.243       0.223       0.206       0.223       0.206       0.885       0.996       0.922       0.918       0.998
MA108A-7-fine-anm-00301.dat          0.0712       0.012    -0.00151    -0.00393       0.162    -0.00904     0.00114      0.0194       0.801       0.439       0.779       0.318       0.325       0.226       0.174       0.226       0.174       0.642       0.946       0.744       0.697        0.97
MA108A-7-fine-anm-00305.dat           0.103    -0.00767     0.00557     0.00689       0.164     0.00601    -0.00437    -0.00241        0.87       0.629       0.867       0.322       0.325       0.315       0.256       0.311       0.254       0.799       0.989       0.861       0.852       0.995
MA108A-7-fine-anm-00308.dat          0.0793      0.0064      0.0136    -0.00287       0.173    -0.00138    -0.00725     -0.0116       0.824       0.457       0.804       0.346       0.347       0.236       0.192       0.234       0.191       0.671       0.951       0.766        0.72       0.971
MA108A-7-fine-anm-00311.dat           0.092      0.0233     0.00598     0.00151       0.157    -0.00209     0.00252     0.00106       0.853       0.588       0.846       0.313       0.308       0.299        0.22       0.296       0.216       0.717       0.977       0.801       0.783        0.99
MA108A-7-fine-anm-00314.dat          0.0718     -0.0175     -0.0164     0.00303       0.141     0.00417    -0.00657   -0.000982       0.822       0.511       0.811       0.313       0.283        0.23       0.174       0.229       0.171       0.672       0.963       0.767       0.737       0.981
MA108A-7-fine-anm-00317.dat           0.109      0.0536      0.0648    5.15e-18       0.287     0.00528     -0.0277     0.00538       0.838       0.379         0.8       0.475       0.574       0.432       0.255        0.43       0.255       0.513       0.903       0.641        0.58       0.954
MA108A-7-fine-anm-00320.dat           0.147     -0.0168     -0.0158     0.00914       0.378      0.0963      0.0699    -0.00749       0.804       0.389       0.772       0.412       0.764       0.445       0.365       0.421        0.38       0.669       0.931       0.765       0.691       0.953
MA108A-7-fine-anm-00323.dat          0.0824     0.00398    -0.00289    -0.00271       0.157     0.00214     0.00454     -0.0127       0.822       0.526       0.815       0.308        0.31       0.254       0.216       0.253       0.206       0.735       0.976       0.815       0.793       0.987
MA108A-7-fine-anm-00326.dat          0.0967    -0.00991      0.0305    -0.00405       0.175     -0.0015     0.00784      0.0145       0.852       0.554       0.844       0.319       0.348       0.297       0.242       0.296       0.245       0.762       0.982       0.834       0.818       0.991
MA108A-7-fine-anm-00329.dat           0.109      0.0155     -0.0113     0.00492       0.181     0.00489       0.015    9.69e-19       0.865       0.603       0.861       0.319        0.35       0.302       0.273       0.302       0.273        0.84       0.991        0.89       0.881       0.995
MA108A-7-fine-anm-00332.dat          0.0977      0.0757        0.03      0.0155       0.215     0.00311    -0.00123      0.0176       0.799       0.454       0.779       0.392       0.424       0.388       0.283        0.38         0.3       0.748       0.981       0.824       0.808       0.991
MA108A-7-fine-anm-00335.dat          0.0772     -0.0379    -0.00479     -0.0124       0.168      0.0129      0.0203    -0.00616       0.812       0.459        0.79       0.351       0.338       0.261       0.192        0.26       0.194       0.655       0.956       0.754       0.718       0.977
MA108A-7-fine-anm-00338.dat           0.124     -0.0701     0.00886      0.0135       0.312      0.0254           0    -0.00484       0.794       0.396       0.734       0.408       0.627        0.33       0.303        0.33       0.303       0.665       0.925       0.762        0.68       0.948
MA108A-7-fine-anm-00341.dat            0.11        0.11     -0.0139       0.007       0.316     -0.0469      0.0341    3.55e-18       0.773       0.347         0.7       0.376       0.634       0.271       0.264        0.27       0.257       0.623       0.887       0.729       0.606       0.913
MA108A-7-fine-anm-00344.dat          0.0683      0.0158    -0.00405     0.00102       0.151     0.00605           0    -0.00953       0.805       0.453       0.788       0.312       0.302       0.224       0.179       0.224       0.179        0.69       0.962       0.781       0.746       0.979
MA108A-7-fine-anm-00347.dat           0.117     -0.0316     -0.0125     0.00649       0.194    -0.00873     -0.0011     0.00937       0.884       0.603       0.882       0.361       0.387       0.337       0.324       0.337       0.324       0.899       0.995       0.931       0.926       0.997
MA108A-7-fine-anm-00350.dat          0.0692     0.00563      0.0173     0.00115       0.149      -0.001    0.000258     -0.0022       0.803       0.464       0.784       0.318       0.299        0.24       0.173       0.239       0.173       0.649       0.956        0.75       0.715       0.978
MA108A-7-fine-anm-00353.dat          0.0937    -0.00473    0.000597     0.00262       0.147     0.00217     0.00119    -0.00965       0.858       0.637       0.857       0.268       0.293       0.224       0.223       0.224       0.223       0.873       0.987       0.913       0.898       0.992
MA108A-7-fine-anm-00356.dat          0.0838      0.0875           0     -0.0055       0.241    -0.00499      0.0106      0.0161       0.788       0.347       0.739       0.467       0.482       0.443       0.204       0.442       0.203       0.439       0.864       0.577       0.512       0.946
MA108A-7-fine-anm-00359.dat          0.0992      0.0103    -0.00748     0.00243       0.168    -0.00693     -0.0065      0.0101       0.861       0.589       0.858       0.298       0.336       0.261       0.258        0.26       0.257        0.87       0.987       0.911       0.897       0.993
MA108A-7-fine-anm-00362.dat          0.0795      0.0122     0.00154   -0.000773       0.153    -0.00801      0.0126     0.00949       0.832       0.521       0.818       0.343       0.306       0.252       0.164       0.249       0.168       0.608       0.945       0.718       0.678       0.974
MA108A-7-fine-anm-00365.dat           0.107     0.00731      0.0155     0.00944       0.189     0.00953           0     -0.0203       0.868       0.567       0.862       0.315        0.38       0.303        0.26       0.303        0.26       0.767       0.979       0.838       0.818       0.989
