Name                                   IS_Rad        IS_x        IS_y        IS_z      ES_Rad        ES_x        ES_y        ES_z      Acoeff  Sphericity         BSR    Round DP  Round MaxC      Length       Width       Thick          D2          D3    Corey SF         ASF         MPS         ESF     Hofmann
MA99BC-5-coarse-anm-00074.dat            2.53       -1.77       0.223       0.457        7.02     -0.0896       -0.47      0.0301        6.06        0.81       0.361       0.764       0.448        14.1        9.89        6.07        9.89        6.06       0.513         0.9       0.641       0.575        0.95
MA99BC-5-coarse-anm-00075.dat            2.29       0.139      -0.101       0.365        5.45      0.0622       0.326      0.0853        5.91        0.82        0.42        0.78       0.454        10.8         7.7        6.26         7.7        6.26       0.686       0.958       0.778       0.739       0.976
MA99BC-5-coarse-anm-00076.dat            2.73        1.22      -0.314       0.241        5.34      -0.393      -0.101      -0.381        6.04       0.786       0.511       0.766       0.384        10.3        9.79        5.99        9.66        6.02       0.603       0.947       0.714       0.679       0.977
MA99BC-5-coarse-anm-00078.dat            1.91       -1.96     2.4e-16      -0.123        5.68      -0.623      -0.753      -0.317        6.07       0.767       0.337       0.719       0.464        11.4        8.53        6.24        8.53        6.24       0.634       0.949       0.738       0.696       0.974
MA99BC-5-coarse-anm-00079.dat            1.74        1.88       0.482       -0.63        6.28       -1.46      -0.376     -0.0951        6.88       0.724       0.278       0.653       0.457        12.6        7.04        4.93           7        4.93       0.525        0.89       0.651       0.562       0.931
MA99BC-5-coarse-anm-00080.dat            2.25        1.26       0.159       0.325           6      -0.405      -0.104       -1.63        6.18       0.764       0.376       0.706       0.481        11.7        8.11        5.22        7.92        5.44       0.565        0.92       0.683       0.622       0.957
MA99BC-5-coarse-anm-00085.dat            3.66        1.12           0       0.364         7.1      -0.183       0.389      0.0544        5.49       0.881       0.515       0.856       0.481        14.2        11.4        8.13        11.4        8.14        0.64       0.954       0.743       0.707       0.977
MA99BC-5-coarse-anm-00086.dat            2.82       0.551      -0.218      0.0748        7.04       -1.08    1.32e-16      -0.206         6.2       0.753         0.4       0.719       0.351        13.8        9.62         9.3         9.6        9.26       0.805       0.974       0.866       0.837       0.984
MA99BC-5-coarse-anm-00089.dat            1.98        0.22      -0.467      0.0652        5.02     -0.0859        0.45       0.631        5.92         0.8       0.394       0.762       0.443          10        8.29        5.09        8.26        5.11       0.562       0.929       0.681       0.634       0.968
MA99BC-5-coarse-anm-00090.dat            2.18     -0.0908       0.279      0.0754        3.71      -0.038       0.199      -0.168         5.5       0.899       0.587       0.882       0.439        7.28        6.65         5.3        6.63        5.31       0.764       0.984       0.835       0.822       0.992
MA99BC-5-coarse-anm-00092.dat            1.99      -0.678      -0.174      -0.509        3.97      -0.316      0.0399      0.0608        5.58       0.887         0.5        0.87       0.448        7.94        5.86        5.56        5.83        5.61       0.824        0.98       0.879       0.857       0.988
MA99BC-5-coarse-anm-00093.dat            2.37       0.273       -0.33     -0.0816        5.16      0.0695       0.364       0.788        5.53       0.876        0.46       0.855       0.471        10.4        7.63        6.12        7.63        6.12       0.686        0.96       0.778       0.742       0.978
MA99BC-5-coarse-anm-00094.dat            1.81       -1.69       -1.23       0.132        5.26        0.49       -1.04    7.05e-17        6.13       0.768       0.344        0.71       0.445        10.5        6.75        4.74        6.75        4.74       0.562       0.915       0.681       0.614       0.952
MA99BC-5-coarse-anm-00096.dat            1.47       0.687       0.831     -0.0678        3.76      -0.208      -0.328      -0.321        6.35       0.778        0.39       0.738       0.442        7.42        6.68         3.8        6.68         3.8       0.539       0.921       0.663       0.616       0.966
MA99BC-5-coarse-anm-00097.dat            2.43        1.03        1.25       0.309         6.8    -0.00642      -0.102      -0.809        6.51       0.732       0.357       0.684       0.422        13.1        11.3        6.59          11        6.51       0.543       0.921       0.666       0.617       0.965
