Name                                   IS_Rad        IS_x        IS_y        IS_z      ES_Rad        ES_x        ES_y        ES_z      Acoeff  Sphericity         BSR    Round DP  Round MaxC      Length       Width       Thick          D2          D3    Corey SF         ASF         MPS         ESF     Hofmann
MA99BC-5-coarse-anm-00013.dat            2.87      -0.399      -0.848      -0.059         7.8       -1.08      -0.426      -0.958        6.08       0.784       0.369       0.741       0.402        15.6        10.5        7.39        10.5        7.75       0.607       0.934       0.717       0.661       0.963
MA99BC-5-coarse-anm-00016.dat            3.29       0.619      -0.581       0.107        10.4       0.365        1.91    1.19e-16        6.67       0.742       0.315       0.686       0.446        21.2        9.82          10        9.73        9.79       0.682       0.908       0.775        0.67       0.933
MA99BC-5-coarse-anm-00017.dat            3.32      -0.977        0.71       -1.46        7.16       0.352      -0.426       0.519         5.9       0.822       0.464       0.804       0.481        14.3        10.7        10.1        10.7        10.1       0.818       0.981       0.875       0.854       0.989
MA99BC-5-coarse-anm-00018.dat            3.16       -1.34      -0.343      -0.174        6.97       0.569     -0.0719       0.109        6.06       0.817       0.454        0.78       0.456        13.9        9.39        10.1        9.39        10.1       0.889       0.977       0.925       0.898       0.986
MA99BC-5-coarse-anm-00019.dat            3.48        1.99           0       0.252        7.23     -0.0538     0.00679      -0.429        6.09       0.784       0.481       0.766       0.402        14.4        12.4        9.37        11.9        9.85       0.752       0.979       0.827       0.808       0.989
MA99BC-5-coarse-anm-00020.dat               3      -0.938       -1.13       0.186        7.22      0.0327      0.0515      -0.483        5.85       0.845       0.416       0.812       0.508        14.6        11.9        7.28        11.9        7.28       0.553       0.925       0.674       0.625       0.966
MA99BC-5-coarse-anm-00021.dat            2.82      -0.599      -0.724       0.682        6.87      -0.126       -0.66       0.427        5.91       0.811       0.411       0.784       0.425        13.8        9.24        8.22        9.24        8.22       0.727       0.961       0.808       0.767       0.976
MA99BC-5-coarse-anm-00022.dat            2.59        1.33       0.529     -0.0903        6.49      -0.542       0.298       0.118        6.23       0.789         0.4       0.755       0.425        12.1        11.2        6.75        11.2        6.75       0.581       0.939       0.696       0.657       0.974
MA99BC-5-coarse-anm-00023.dat            2.61         2.2       0.869      -0.935        7.65       0.229      0.0289       0.419         6.2       0.782       0.341       0.731       0.471        15.4        9.17        7.31        9.15        7.19       0.606       0.924       0.716       0.646       0.952
MA99BC-5-coarse-anm-00024.dat            2.32      -0.331        1.02       0.204        4.88       -0.17     -0.0935       -0.49        5.72       0.832       0.476       0.807        0.43        9.58        8.81        6.45        8.81        6.45       0.703       0.973        0.79       0.769       0.988
MA99BC-5-coarse-anm-00025.dat            2.72        -2.7     3.3e-16    1.65e-16        8.17       0.795       0.961      -0.587        6.26       0.761       0.333       0.717        0.47        16.4        10.9        8.32        10.6        8.25       0.627       0.937       0.733       0.676       0.962
MA99BC-5-coarse-anm-00026.dat            2.54      -0.699       0.845      -0.282        5.79     -0.0171       0.272      -0.496        6.01       0.822       0.439       0.783       0.455        11.6        8.26        7.72        8.26        7.72        0.79       0.975       0.855       0.827       0.985
MA99BC-5-coarse-anm-00028.dat            2.49       0.276       0.849      -0.229        6.38       0.448           0       0.421        6.07       0.792        0.39       0.748       0.463        12.8        10.5        5.79        10.5        5.79         0.5         0.9        0.63       0.572       0.956
MA99BC-5-coarse-anm-00029.dat            1.77      -0.835       -0.33       -0.23         5.8       0.258      -0.549       0.955        6.47       0.754       0.305       0.672       0.479        11.7        5.67        5.72        5.67        5.72       0.702       0.919        0.79       0.697       0.942
MA99BC-5-coarse-anm-00030.dat            2.13       0.225        1.18       0.229         5.5       0.148       0.457      -0.349        5.81       0.814       0.387       0.778       0.483          11        7.96        5.87         7.9        6.39       0.686       0.959       0.778        0.74       0.977
MA99BC-5-coarse-anm-00031.dat            2.01       0.861      -0.341       0.367        6.97       0.448       0.952       -0.87        6.51       0.759       0.289       0.679       0.473        13.9        7.82        4.48        7.78         4.5       0.433       0.842       0.573       0.472        0.91
MA99BC-5-coarse-anm-00034.dat            2.07       0.181       0.557       0.232         5.9      -0.251      -0.532       -0.81        6.41       0.762       0.351       0.704       0.511        11.9        9.39         4.5        9.39         4.5       0.425       0.852       0.565       0.492       0.937
MA99BC-5-coarse-anm-00037.dat             1.6       -1.39       0.764         0.2        6.73      -0.469      -0.567      -0.405        7.22       0.657       0.238       0.558       0.461        13.2        8.75        3.63        8.75        3.63       0.338       0.774       0.485       0.387       0.897
MA99BC-5-coarse-anm-00038.dat            2.18     -0.0809      0.0102      -0.251        3.86      -0.157      -0.189       0.297        5.86        0.86       0.565       0.845       0.397        7.49        6.37        5.32        6.37        5.32        0.77       0.983        0.84       0.824       0.991
MA99BC-5-coarse-anm-00039.dat            2.09      -0.627       0.345       0.184        4.46      -0.336      0.0864      -0.287        5.97       0.825        0.47       0.798       0.433        8.85        7.19        5.22        7.11        5.46       0.689       0.966        0.78       0.751       0.983
MA99BC-5-coarse-anm-00040.dat            3.26       -1.42    1.74e-16      -0.781        6.62      -0.516       0.375      -0.207        5.49        0.87       0.492        0.86       0.488        12.9        12.3        9.76        12.1        9.78       0.782       0.987       0.849       0.837       0.994
MA99BC-5-coarse-anm-00041.dat            2.77      -0.436      -0.926      -0.744        6.44       0.725       0.186      0.0945        5.86       0.841        0.43       0.813       0.488        12.7        10.1        7.48        10.1         7.6       0.671       0.961       0.766       0.734        0.98
MA99BC-5-coarse-anm-00045.dat            1.87       -1.15    1.41e-16       0.296        4.41      0.0285        0.15      -0.324        6.12       0.803       0.424       0.763       0.448        8.84        6.94        4.63        6.93        4.55       0.581       0.934       0.697        0.65       0.969
